Log ID,Username,Log Type,command,file,filename,full_command,stderr,stdout,time
f54d00390f36c13144c7f51475d2cf8d855ec1e20c0ac0f8d18eed5b18768a71,emilyshen,Bash,cd,,./data-store/data/input/RNA_SEQ_SAMPLES/,cd ./data-store/data/input/RNA_SEQ_SAMPLES/,,,2023-03-23:21:40
f54d00390f36c13144c7f51475d2cf8d855ec1e20c0ac0f8d18eed5b18768a71,emilyshen,Bash,cd,,,cd Drug_A,,,2023-03-23:21:41
f54d00390f36c13144c7f51475d2cf8d855ec1e20c0ac0f8d18eed5b18768a71,emilyshen,Bash,ls,,,ls,,"Drug_A_1.fastq
Drug_A_1.fastq.gz
Drug_A_2.fastq
Drug_A_2.fastq.gz",2023-03-23:21:41
f54d00390f36c13144c7f51475d2cf8d855ec1e20c0ac0f8d18eed5b18768a71,emilyshen,Bash,cd,,..,cd ..,,,2023-03-23:21:41
f54d00390f36c13144c7f51475d2cf8d855ec1e20c0ac0f8d18eed5b18768a71,emilyshen,Bash,cd,,..,cd ..,,,2023-03-23:21:41
f54d00390f36c13144c7f51475d2cf8d855ec1e20c0ac0f8d18eed5b18768a71,emilyshen,Bash,cd,,,cd /home/jovyan/data-store/data/input/RNA_SEQ_SAMPLES/Drug_B,,,2023-03-23:21:41
f54d00390f36c13144c7f51475d2cf8d855ec1e20c0ac0f8d18eed5b18768a71,emilyshen,Bash,cd,,,cd ~,,,2023-03-23:21:42
f54d00390f36c13144c7f51475d2cf8d855ec1e20c0ac0f8d18eed5b18768a71,emilyshen,Bash,cd,,,cd ~/data-store/data/input/RNA_SEQ_SAMPLES/Drug_B,,,2023-03-23:21:42
f54d00390f36c13144c7f51475d2cf8d855ec1e20c0ac0f8d18eed5b18768a71,emilyshen,Bash,cd,,,cd,,,2023-03-23:21:42
f54d00390f36c13144c7f51475d2cf8d855ec1e20c0ac0f8d18eed5b18768a71,emilyshen,Bash,cd,,,cd ~/data-store/data/input/RNA_SEQ_SAMPLES/Drug_A,,,2023-03-23:21:43
f54d00390f36c13144c7f51475d2cf8d855ec1e20c0ac0f8d18eed5b18768a71,emilyshen,Bash,which,,,which ls,,/usr/bin/ls,2023-03-23:21:43
f54d00390f36c13144c7f51475d2cf8d855ec1e20c0ac0f8d18eed5b18768a71,emilyshen,Bash,which,,,which cd,,,2023-03-23:21:43
f54d00390f36c13144c7f51475d2cf8d855ec1e20c0ac0f8d18eed5b18768a71,emilyshen,Bash,cd,,,cd ~/data-store/data/input/RNA_SEQ_SAMPLES/Drug_B,,,2023-03-23:21:45
f54d00390f36c13144c7f51475d2cf8d855ec1e20c0ac0f8d18eed5b18768a71,emilyshen,Bash,cd,,../..,cd ../..,,,2023-03-23:21:45
f54d00390f36c13144c7f51475d2cf8d855ec1e20c0ac0f8d18eed5b18768a71,emilyshen,Bash,cd,,,cd RNA_SEQ_SAMPLES/Drug_B,,,2023-03-23:21:45
f54d00390f36c13144c7f51475d2cf8d855ec1e20c0ac0f8d18eed5b18768a71,emilyshen,Bash,ls,,,ls –a,ls: cannot access '–a': No such file or directory,,2023-03-23:21:45
f54d00390f36c13144c7f51475d2cf8d855ec1e20c0ac0f8d18eed5b18768a71,emilyshen,Bash,ls,,,ls -a,,"Drug_B_1.fastq
Drug_B_1.fastq.gz
Drug_B_2.fastq
Drug_B_2.fastq.gz",2023-03-24:00:31
f54d00390f36c13144c7f51475d2cf8d855ec1e20c0ac0f8d18eed5b18768a71,emilyshen,Bash,cd,,,cd /home/jovyan/data-store/data/output,,,2023-03-24:00:32
f54d00390f36c13144c7f51475d2cf8d855ec1e20c0ac0f8d18eed5b18768a71,emilyshen,Bash,mkdir,,,mkdir misc,,,2023-03-24:00:32
f54d00390f36c13144c7f51475d2cf8d855ec1e20c0ac0f8d18eed5b18768a71,emilyshen,Bash,cd,,,cd misc,,,2023-03-24:00:32
f54d00390f36c13144c7f51475d2cf8d855ec1e20c0ac0f8d18eed5b18768a71,emilyshen,Bash,mkdir,,,mkdir misc_child,,,2023-03-24:00:32
f54d00390f36c13144c7f51475d2cf8d855ec1e20c0ac0f8d18eed5b18768a71,emilyshen,Bash,ls,,,ls,,misc_child,2023-03-24:00:33
f54d00390f36c13144c7f51475d2cf8d855ec1e20c0ac0f8d18eed5b18768a71,emilyshen,Bash,mkdir,,,mkdir misc_child/misc_child_child,,,2023-03-24:00:33
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,ls,,,ls /home/jovyan,,"data-store
stderr.txt
stdout.txt
SuperShell
work",2023-03-30:17:13
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,ls,,.,ls .,,"data-store
stderr.txt
stdout.txt
SuperShell
work",2023-03-30:17:13
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,ls,,..,ls ..,,jovyan,2023-03-30:17:13
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,ls,,,ls /home/jovyan/data-store/data/input/RNA_SEQ_SAMPLES,,"Drug_A
Drug_B",2023-03-30:17:13
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,ls,,./data-store/data/input/RNA_SEQ_SAMPLES,ls ./data-store/data/input/RNA_SEQ_SAMPLES,,"Drug_A
Drug_B",2023-03-30:17:14
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,ls,,stderr.txt,ls stderr.txt,,stderr.txt,2023-03-30:17:14
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,ls,,,ls -l data-store/data/input/Discovery/,,"total 0
dr-x------ 1 jovyan jovyan 0 Sep 9 2022 FilteredSortedOutput
dr-x------ 1 jovyan jovyan 0 Sep 9 2022 RNASequenceOutput
dr-x------ 1 jovyan jovyan 0 Sep 9 2022 TSVFiles
dr-x------ 1 jovyan jovyan 0 Sep 9 2022 UncompressedSamples",2023-03-30:17:15
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,ls,,,ls -l data-store/data/input/Discovery/TSVFiles,,"total 0
-r-------- 1 jovyan jovyan 6237689 Sep 8 2022 A_1_abundance.tsv
-r-------- 1 jovyan jovyan 6135948 Sep 8 2022 A_2_abundance.tsv
-r-------- 1 jovyan jovyan 6237909 Sep 8 2022 B_1_abundance.tsv
-r-------- 1 jovyan jovyan 6237909 Sep 8 2022 B_2_abundance.tsv",2023-03-30:17:16
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,ls,,,ls -l,,"total 4
drwxrwsrwx 2 root jovyan 42 Mar 30 17:10 data-store
-rw-r--r-- 1 jovyan users 0 Mar 30 17:16 stderr.txt
drwxr-xr-x 6 jovyan users 4096 Mar 30 17:12 SuperShell
drwsrwsr-x 2 jovyan users 10 May 3 2022 work",2023-03-30:17:16
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,ls,,,ls -l stderr.txt,,-rw-r--r-- 1 jovyan users 0 Mar 30 17:17 stderr.txt,2023-03-30:17:17
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,ls,,,ls -l ./data-store/data/input/RNA_SEQ_SAMPLES/ stderr.txt,,"-rw-r--r-- 1 jovyan users 0 Mar 30 17:17 stderr.txt

./data-store/data/input/RNA_SEQ_SAMPLES/:
total 0
dr-x------ 1 jovyan jovyan 0 May 29 2020 Drug_A
dr-x------ 1 jovyan jovyan 0 May 29 2020 Drug_B",2023-03-30:17:17
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,ls,,,ls -l -R ./data-store/data/input/RNA_SEQ_SAMPLES/,,"./data-store/data/input/RNA_SEQ_SAMPLES/:
total 0
dr-x------ 1 jovyan jovyan 0 May 29 2020 Drug_A
dr-x------ 1 jovyan jovyan 0 May 29 2020 Drug_B

./data-store/data/input/RNA_SEQ_SAMPLES/Drug_A:
total 0
-r-------- 1 jovyan jovyan 3677295 May 20 2020 Drug_A_1.fastq
-r-------- 1 jovyan jovyan 804307 May 20 2020 Drug_A_1.fastq.gz
-r-------- 1 jovyan jovyan 3978812 May 22 2020 Drug_A_2.fastq
-r-------- 1 jovyan jovyan 772800 May 20 2020 Drug_A_2.fastq.gz

./data-store/data/input/RNA_SEQ_SAMPLES/Drug_B:
total 0
-r-------- 1 jovyan jovyan 3978812 May 20 2020 Drug_B_1.fastq
-r-------- 1 jovyan jovyan 827189 May 22 2020 Drug_B_1.fastq.gz
-r-------- 1 jovyan jovyan 3978812 May 20 2020 Drug_B_2.fastq
-r-------- 1 jovyan jovyan 827189 May 22 2020 Drug_B_2.fastq.gz",2023-03-30:17:17
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,cd,,,cd RNA_SEQ_SAMPLES,/home/jovyan/.offline.sh: line 354: cd: RNA_SEQ_SAMPLES: No such file or directory,,2023-03-30:17:17
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,cd,,,cd data-store/data/input/RNA_SEQ_SAMPLES/,,,2023-03-30:17:18
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,pwd,,,pwd,,/home/jovyan/data-store/data/input/RNA_SEQ_SAMPLES,2023-03-30:17:18
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,ls,,,ls,,"Drug_A
Drug_B",2023-03-30:17:18
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,cd,,..,cd ..,,,2023-03-30:17:18
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,pwd,,,pwd,,/home/jovyan/data-store/data/input,2023-03-30:17:18
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,cd,,..,cd ..,,,2023-03-30:17:18
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,pwd,,,pwd,,/home/jovyan/data-store/data,2023-03-30:17:18
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,cd,,,cd /home/jovyan/data-store/data/input/RNA_SEQ_SAMPLES/Drug_B,,,2023-03-30:17:19
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,cd,,,cd ~,,,2023-03-30:17:19
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,cd,,,cd ~/data-store/data/input/RNA_SEQ_SAMPLES/Drug_B,,,2023-03-30:17:19
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,cd,,,cd,,,2023-03-30:17:19
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,pwd,,,pwd,,/home/jovyan,2023-03-30:17:19
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,cd,,,cd ~/data-store/data/input/RNA_SEQ_SAMPLES/Drug_A,,,2023-03-30:17:19
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,which,,,which ls,,/usr/bin/ls,2023-03-30:17:20
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,which,,,which cd,,,2023-03-30:17:20
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,cd,,,cd ~/data-store/data/input/RNA_SEQ_SAMPLES/Drug_B,,,2023-03-30:17:20
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,cd,,../Drug_B,cd ../Drug_B,,,2023-03-30:17:20
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,cd,,../..,cd ../..,,,2023-03-30:17:21
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,cd,,,cd RNA_SEQ_SAMPLES/Drug_B,,,2023-03-30:17:21
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,ls,,,ls –a,ls: cannot access '–a': No such file or directory,,2023-03-30:17:21
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,ls,,,ls -a,,"Drug_B_1.fastq
Drug_B_1.fastq.gz
Drug_B_2.fastq
Drug_B_2.fastq.gz",2023-03-30:17:21
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,ls,,-a.,ls -a.,"ls: invalid option -- '.'
Try 'ls --help' for more information.",,2023-03-30:17:22
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,cd,,./../Drug_A,cd ./../Drug_A,,,2023-03-30:17:23
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,cd,,,cd /home/jovyan/data-store/data/output,,,2023-03-30:17:24
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,ls,,,ls,,,2023-03-30:17:24
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,mkdir,,,mkdir misc,,,2023-03-30:17:24
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,ls,,,ls,,misc,2023-03-30:17:24
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,cd,,,cd misc,,,2023-03-30:17:24
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,mkdir,,,mkdir misc_child,,,2023-03-30:17:25
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,mkdir,,,mkdir misc_child/misc_child_child,,,2023-03-30:17:25
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,mkdir,,,mkdir misc_child/misc_child_child/misc_child_child_child,,,2023-03-30:17:25
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,ls,,,ls,,misc_child,2023-03-30:17:25
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,cd,,,cd misc_child,,,2023-03-30:17:26
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,ls,,,ls,,misc_child_child,2023-03-30:17:26
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,cd,,,cd misc_child_child,,,2023-03-30:17:26
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,ls,,,ls,,misc_child_child_child,2023-03-30:17:26
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,cd,,../../../,cd ../../../,,,2023-03-30:17:26
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,mkdir,,,mkdir UncompressedSamples,,,2023-03-30:17:26
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,mkdir,,,mkdir FilteredSortedOutput,,,2023-03-30:17:26
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,mkdir,,,mkdir TSVFiles,,,2023-03-30:17:26
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,mkdir,,,mkdir PermissionsTest,,,2023-03-30:17:27
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,mkdir,,,mkdir bin,,,2023-03-30:17:27
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,ls,,,ls,,"bin
FilteredSortedOutput
misc
PermissionsTest
TSVFiles
UncompressedSamples",2023-03-30:17:27
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,mkdir,,,mkdir PermissionsTest/PermissionsChild,,,2023-03-30:17:29
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,cd,,,cd misc,,,2023-03-30:17:29
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,pico,"Hello
World",hello.txt,,,,2023-03-30:17:30
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,pico,"goodbye beautiful
world",goodbye.txt,,,,2023-03-30:17:31
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,cat,"Hello
World",hello.txt,cat hello.txt,,"Hello
World",2023-03-30:17:32
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,cat,"Hello
World",hello.txt,cat hello.txt goodbye.txt,,"Hello
World
goodbye beautiful
world",2023-03-30:17:32
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,cat,,,cat,,"abc
def",2023-03-30:17:33
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,ls,,,ls > ls.out,,,2023-03-30:17:34
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,cat,"Hello
World",hello.txt,cat hello.txt goodbye.txt > hello_goodbye.txt,,,2023-03-30:17:34
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,cat,"Hello
World
goodbye beautiful
world",hello_goodbye.txt,cat hello_goodbye.txt,,"Hello
World
goodbye beautiful
world",2023-03-30:17:35
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,cat,,,cat < hello.txt,,"Hello
World",2023-03-30:17:35
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,cat,,,cat > cat.out,,,2023-03-30:17:36
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,echo,,,echo “hello world”,,“hello world”,2023-03-30:17:36
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,echo,,,echo 1 2,,1 2,2023-03-30:17:36
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,echo,,,echo “hello world” > misc_child/echo.out,,,2023-03-30:17:36
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,echo,,,echo “goodbye world” > misc_child/echo_output.txt,,,2023-03-30:17:37
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,cat,“goodbye world”,misc_child/echo_output.txt,cat misc_child/echo_output.txt,,“goodbye world”,2023-03-30:17:37
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,echo,,,echo “hello world” >> misc_child/echo_output.txt,,,2023-03-30:17:37
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,cat,"“goodbye world”
“hello world”",misc_child/echo_output.txt,cat misc_child/echo_output.txt,,"“goodbye world”
“hello world”",2023-03-30:17:37
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,cat,"Hello
World",hello.txt,cat hello.txt goodbye.txt hello_goodbye.txt ls.out cat,cat: cat: No such file or directory,"Hello
World
goodbye beautiful
world
Hello
World
goodbye beautiful
world
goodbye.txt
hello.txt
ls.out
misc_child",2023-03-30:17:38
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,ls,,,ls,,"cat.out
goodbye.txt
hello_goodbye.txt
hello.txt
ls.out
misc_child",2023-03-30:17:38
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,cat,,,cat ~/data-store/data/output/misc/*,cat: /home/jovyan/data-store/data/output/misc/misc_child: Is a directory,"This is cat input
More cat input
goodbye beautiful
world
Hello
World
goodbye beautiful
world
Hello
World
goodbye.txt
hello.txt
ls.out
misc_child",2023-03-30:17:39
ae49f45694333e9ca5064cfef20c95339d30c7c469fdd3144ca99f3a551bbe93,gunings,Bash,cat,"Hello
World
goodbye beautiful
world",hello_goodbye.txt,cat hello_goodbye.txt hello.txt,,"Hello
World
goodbye beautiful
world
Hello
World",2023-03-30:17:40
